QueryNumber;QueryText
00001;['EFFECT', 'CALCIUM', 'PHYSICAL', 'PROPERTY', 'MUCUS']
00002;['DISTINGUISH', 'EFFECT', 'MUCUS', 'HYPERSECRETION', 'INFECTION', 'SUBMUCOSAL', 'GLAND', 'RESPIRATORY', 'TRACT']
00003;['SALIVARY', 'GLYCOPROTEIN', 'DIFFERENT', 'NORMAL', 'SUBJECT']
00004;['LIPID', 'COMPOSITION', 'RESPIRATORY', 'SECRETION']
00005;['MUCUS', 'ABNORMAL']
00006;['EFFECT', 'WATER', 'THERAPEUTIC', 'AGENT', 'PHYSICAL', 'PROPERTY', 'VISCOSITY', 'ELASTICITY', 'SPUTUM', 'BRONCHIAL', 'SECRETION']
00007;['MUCUS', 'GLYCOPROTEIN', 'DEGRADED', 'DIFFERENTLY', 'COMPARED', 'NORMAL', 'SUBJECT']
00008;['HISTOCHEMICAL', 'DIFFERENCE', 'DESCRIBED', 'NORMAL', 'RESPIRATORY', 'EPITHELIUM']
00009;['ASSOCIATION', 'LIVER', 'DISEASE', 'CIRRHOSIS', 'VITAMIN', 'METABOLISM']
00010;['VITAMIN', 'THERAPY']
00011;['DIFFERENCE', 'MECONIUM', 'ILEUS', 'MECONIUM', 'SYNDROME']
00012;['ABNORMALITY', 'AMINO', 'TRANSPORT', 'DESCRIBED', 'SMALL', 'BOWEL']
00013;['CLINICAL', 'BIOCHEMICAL', 'FEATURE', 'PANCREATITIS']
00014;['INVASIVE', 'PERFORMED', 'EVALUATION', 'EXOCRINE', 'PANCREATIC', 'FUNCTION']
00015;['HEPATIC', 'COMPLICATION', 'MANIFESTATION']
00016;['GASTROINTESTINAL', 'COMPLICATION', 'NEONATAL', 'PERIOD', 'EXCLUDE', 'LIVER', 'DISEASE', 'MECONIUM', 'ILEUS']
00017;['EFFECTIVE', 'REGIMEN', 'PANCREATIC', 'ENZYME', 'SUPPLEMENT', 'TREATMENT']
00018;['DIETARY', 'SUPPLEMENTATION', 'THERAPEUTIC', 'BENEFIT']
00019;['COMPLICATION', 'PANCREATIC', 'ENZYME', 'THERAPY', 'REPORTED']
00020;['EFFECT', 'TREATMENT', 'ESSENTIAL', 'FATTY', 'SUPPLEMENT']
00021;['PANCREATIC', 'INSUFFICIENCY', 'AFFECT', 'ABILITY', 'ABSORB', 'METABOLIZE']
00022;['FREQUENCY', 'CAUCASIAN', 'POPULATION']
00023;['CONGENITAL', 'HEREDITARY', 'DISEASE', 'CONDITION', 'FOUND', 'ASSOCIATION']
00024;['CHARACTERISTIC', 'INCOMPLETELY', 'MANIFESTED']
00025;['EVIDENCE', 'GENETIC', 'BASIS', 'INVOLVES']
00026;['HETEROZYGOTE', 'ADVANTAGE']
00027;['CONCORDANCE', 'CLINICAL', 'BIOCHEMICAL', 'MANIFESTATION', 'SIBLING']
00028;['INCIDENCE', 'FERTILITY']
00029;['PATHOLOGY', 'REPRODUCTIVE', 'SYSTEM', 'FEMALE']
00030;['RESULT', 'GENETIC', 'COUNSELING', 'FAMILY', 'CHILD']
00031;['MAJOR', 'PSYCHOLOGICAL', 'SOCIAL', 'EFFECT', 'FAMILY']
00032;['FACTOR', 'INFLUENCE', 'COMPLIANCE', 'PRESCRIBED', 'THERAPY']
00033;['CONDITION', 'FACTOR', 'ERRONEOUS', 'SWEAT']
00034;['ALTERNATIVE', 'TECHNIQUE', 'CLASSICAL', 'GIBSON', 'COOKE', 'QUANTITATIVE', 'PILOCARPINE', 'IONTOPHORESIS', 'TITRIMETRIC', 'ANALYSIS', 'CHLORIDE', 'AVAILABLE', 'SWEAT', 'TESTING', 'RELATIVE', 'ADVANTAGE', 'DISADVANTAGE']
00035;['FOUND', 'CONSISTENTLY', 'NORMAL', 'SWEAT']
00036;['CONCENTRATION', 'POTASSIUM', 'SWEAT']
00037;['TECHNIQUE', 'AVAILABLE', 'SCREENING', 'NEWBORN', 'INFANT', 'FACTOR', 'CONTRIBUTE', 'ERRONEOUS', 'RESULT']
00038;['DIAGNOSED', 'PRENATALLY']
00039;['HETEROZYGOTE', 'IDENTIFIED']
00040;['SWEAT', 'TECHNIQUE', 'USEFUL', 'BEYOND', 'NEONATAL', 'PERIOD', 'DIAGNOSIS']
00041;['VITAMIN', 'METABOLISM', 'NORMAL']
00042;['ABNORMALITY', 'INSULIN', 'SECRETION', 'INSULIN', 'METABOLISM', 'OCCUR']
00043;['SODIUM', 'CHLORIDE', 'TRANSPORT', 'PERMEABILITY', 'ABNORMAL']
00044;['STRUCTURAL', 'ENZYMATIC', 'DIFFERENCE', 'FIBROBLAST']
00045;['ABNORMALITY', 'PROSTAGLANDIN', 'METABOLISM', 'DESCRIBED']
00046;['PROPERTY', 'ACTIVITY', 'GALACTOSYLTRANSFERASE', 'ENZYME']
00047;['DIFFERENCE', 'NORMAL', 'SUBJECT', 'DESCRIBED', 'FUNCTION', 'METABOLISM', 'HORMONE']
00048;['FIBROBLAST', 'NORMAL']
00049;['METHYLATION', 'POLYAMINE', 'METABOLISM', 'NORMAL']
00050;['DEFECT', 'SYNTHESIS', 'METABOLISM', 'CYCLIC', 'NUCLEOTIDE', 'DESCRIBED']
00051;['CIRCULATING', 'SECRETED', 'FACTOR', 'DESCRIBED', 'FACTORS', 'UNIDENTIFIED', 'BIOLOGICALLY', 'ACTIVE', 'MOLECULE', 'THOUGHT', 'PATHOGENETIC', 'CYSTIC', 'FIBROSIS']
00052;['KNOWN', 'PROLACTIN']
00053;['SECRETORY', 'PROTECT', 'BACTERIAL', 'COLONIZATION', 'INFECTION']
00054;['RELATIONSHIP', 'ALLERGY', 'HYPERSENSITIVITY', 'DISEASE']
00055;['INTERACTION', 'PROTEASE', 'ENDOGENOUS', 'BACTERIAL', 'ORIGIN', 'ANTIPROTEASES']
00056;['RELATIONSHIP', 'NUTRITION', 'PULMONARY', 'DEFENSE', 'BACTERIAL', 'INFECTION']
00057;['PATHOPHYSIOLOGIC', 'CIRCULATING', 'ANTIBODY', 'PSEUDOMONAS', 'AERUGINOSA']
00058;['IMMUNOLOGIC', 'RESPONSE', 'PULMONARY', 'INFECTION']
00059;['IMMUNOLOGIC', 'ABNORMALITY', 'FOUND']
00060;['EFFECT', 'PULMONARY', 'CIRCULATION']
00061;['DEFECT', 'MUCOCILIARY', 'TRANSPORT', 'CLEARANCE', 'RESPIRATORY', 'TRACT']
00062;['CLINICAL', 'FEATURE', 'DISEASE']
00063;['BIOCHEMICAL', 'MICROSCOPIC', 'CHARACTERISTIC', 'AIRWAY', 'INFLAMMATION']
00064;['FUNCTION', 'CHANGE', 'PERIOD', 'GREATER']
00065;['ABNORMALITY', 'PULMONARY', 'FUNCTION']
00066;['PATHOLOGIC', 'FEATURE', 'DISEASE']
00067;['PROGNOSIS', 'EPISODE', 'RESPIRATORY', 'FAILURE']
00068;['EFFECT', 'BRONCHODILATOR']
00069;['TREAT', 'PNEUMOTHORAX']
00070;['TREATMENT', 'PROGNOSIS', 'HEMOPTYSIS']
00071;['PROGNOSIS', 'INFANT', 'WHEEZING', 'CYSTIC', 'FIBROSIS']
00072;['TREATMENT', 'NASAL', 'POLYP']
00073;['EFFECTIVE', 'BRONCHIAL', 'LAVAGE']
00074;['RESULT', 'MECHANICAL', 'VENTILATION', 'RESPIRATORY', 'FAILURE']
00075;['TREATMENT', 'PULMONARY', 'HYPERTENSION', 'PULMONALE']
00076;['EFFECT', 'EXERCISE', 'TRAINING', 'PROGRAM', 'FUNCTION']
00077;['TECHNIQUE', 'EFFECTIVE', 'PROMOTING', 'CLEARANCE', 'MUCUS']
00078;['SPECIAL', 'CONSIDERATION', 'TREATMENT', 'ANTIBIOTIC', 'PHARMACODYNAMICS', 'ANTIBIOTIC', 'DIFFERENT', 'SPECIAL', 'PROBLEM', 'PECULIAR']
00079;['ORALLY', 'ADMINISTERED', 'ANTIBIOTIC', 'TREATMENT']
00080;['EVIDENCE', 'COMBINATION', 'THERAPY', 'AMINOGLYCOSIDES', 'SEMISYNTHETIC', 'PENICILLIN', 'EFFECTIVE', 'THERAPY', 'EITHER', 'ALONE']
00081;['EFFECTIVE', 'INHALATION', 'MUCOLYTIC', 'AGENT', 'TREATMENT']
00082;['AEROSOL', 'TREATMENT', 'DISEASE']
00083;['BACTERIAL', 'PHAGOCYTOSIS', 'ALVEOLAR', 'MACROPHAGE', 'POLYMORPHONUCLEAR', 'LEUKOCYTE', 'DISEASE']
00084;['RELATIONSHIP', 'HAEMOPHILUS', 'INFLUENZAE', 'PSEUDOMONAS', 'AERUGINOSA']
00085;['DEVELOP', 'INFECTION', 'ORGAN', 'ORGAN']
00086;['BACTERIA', 'PSEUDOMONAS', 'AERUGINOSA', 'STAPHYLOCOCCUS', 'AUREUS', 'HAEMOPHILUS', 'INFLUENZAE', 'PATHOGENESIS', 'DISEASE']
00087;['FUNGI', 'PATHOGENESIS', 'DISEASE']
00088;['VIRAL', 'INFECTION', 'DISEASE']
00089;['EPIDEMIOLOGY', 'PSEUDOMONAS', 'AERUGINOSA', 'SPECIFICALLY', 'SPREAD', 'PSEUDOMONAS', 'AERUGINOSA', 'INDIVIDUAL', 'FAMILY']
00090;['FACTOR', 'RESPONSIBLE', 'APPEARANCE', 'MUCOID', 'STRAIN', 'PSEUDOMONAS', 'AERUGINOSA']
00091;['UNUSUAL', 'MANIFESTATION', 'DISEASE', 'EXOCRINE', 'PANCREATIC', 'INSUFFICIENCY']
00092;['PROGNOSIS', 'SURVIVAL']
00094;['ANIMAL', 'MODEL', 'AVAILABLE', 'RELEVANT']
00095;['ABNORMALITY', 'SKELETAL', 'MUSCLE', 'FUNCTION', 'STRUCTURE', 'FOUND']
00096;['INCREASED', 'INCIDENCE', 'DENTAL', 'PROBLEM', 'CARIES', 'PERIODONTAL', 'DISEASE']
00097;['OXYGEN', 'TRANSPORT', 'BLOOD', 'ABNORMAL']
00098;['EFFECT', 'DEVELOPMENT', 'FUNCTION', 'BRAIN', 'CENTRAL', 'NERVOUS', 'SYSTEM']
00099;['ABNORMALITY', 'TASTE']
00100;['INCIDENCE', 'TREATMENT', 'HYPERTROPHIC', 'OSTEOARTHROPATHY']
